CODGEO,PMUN,EMPLT,DGF_COM,CFT_COM,DIT_COM,DETTE_COM,IND_PRIX,DEPTOT_COM,EVPOP,EVEMP,EMPHAB,DIPLMIN,CAPBEP,BAC,SUP,ACTOCCUP1564,CHOM1564,POP1824,REVUC,SUPERFICIE,denspopemp
77255,1947,172.2480879,147.611710323575,578.926553672316,256.671802773498,722.968669748331,139.2,835.598356445814,0.384466871623435,-2.83852721684422,0.0884684580893683,23.449681121576,30.1541913805002,15.5767330853123,30.8193944394364,92.2149122785986,7.7850877191043,5.62629154997581,26071.33333,535,21.142035981149
77256,186,22.33489838,140.752688172043,807.043010752688,300.268817204301,77.9032258064516,139.2,1107.31182795699,2.67508426815435,13.4539491495251,0.120080098817204,36.3636363550202,20.4545454492432,19.6969696956441,23.4848484782206,88.0952380979659,11.9047619020341,1.67597765368445,23013.80952,579,14.6664107723391
77257,3609,1357.768617,202.11970074813,805.447492380161,100.033250207814,350.274314214464,139.2,905.480742587975,0.381155608061534,-2.18635645175835,0.376217405652535,45.4827084730713,28.0548950440954,14.185529556328,12.2768669265052,82.1798833746155,17.8201166133348,8.23266546859589,17438.09524,1125,35.6002736410233
77258,13833,8339.465381,391.609918311285,1782.39644328779,290.20964360587,1114.5738451529,139.2,2072.60608689366,-1.28354613021791,-1.17066904614818,0.602867446034844,29.7677228767372,16.0751088821961,19.3152149090164,34.8419533213632,84.8046891013313,15.1953108986687,10.6611939921346,20033.7037,403,88.502590043468
77259,2472,395.1610204,181.775889967638,698.77427184466,511.771844660194,510.052588996764,139.2,1210.54611650485,0.846312837865604,-0.411300849647767,0.15985478171521,30.9409970360165,24.8513503834842,22.0463318743701,22.1613207119826,88.8319184016175,11.1680815634582,10.1870862187263,23138,465,50.0734559292759
77260,1811,382.0887945,89.9447818884594,589.76808393153,269.574820541138,14.5223633351739,139.2,859.342904472667,1.70751084613621,5.01641151980568,0.210982216731088,47.0883122999374,25.214513943792,13.4218797310412,14.2752940486582,81.3088285293441,18.6911714706559,7.71627461379775,18910,558,23.2735630721982
77261,1281,345.6580013,243.67681498829,969.391100702576,246.791569086651,1052.21701795472,139.2,1216.18266978923,0.604081464998285,0.74839681872223,0.269834505308353,27.5675675734204,31.6756756778997,19.6756756714031,21.0810810772768,84.5541401257632,15.4458598726419,7.32657833202317,21224,1977,16.0736956650198
77262,504,67.99486583,130.039682539683,582.797619047619,36.7261904761905,85.1587301587302,139.2,619.52380952381,-0.314471638226821,-0.338059780261657,0.134910448075397,30.4709141150892,27.7008310260589,17.7285318566777,24.0997229913137,86.4253393877883,13.5746606343872,4.04858299596419,21043.94444,3807,8.95720961358376
77263,241,28.26015724,152.98755186722,746.224066390042,677.510373443984,0,139.2,1423.73443983403,1.02673370599584,1.1022784137547,0.117262063236515,27.499999996862,28.749999998431,26.8749999960775,16.8749999960775,94.7826087062821,5.21739130419597,4.13223140495868,21842.66667,509,15.2605477856746
77264,1538,201.3756287,155.162548764629,633.179453836151,387.334200260078,268.797139141743,139.2,1020.51365409623,0.341573905167514,6.38271209076073,0.130933438686606,20.794950018771,28.0969732309329,20.9787842510168,30.1292925360558,92.0653815222204,7.934618484044,6.40538956123611,24769.56522,3637,9.04049844904994
77265,1094,201.6472847,170.429616087751,397.138939670932,145.301645338208,213.976234003656,139.2,542.440585009141,1.21293514662078,2.43027451078863,0.1843211011883,33.4186939845815,30.0896286766782,16.7733674710009,19.7183098547714,83.9255499142378,16.0744500840485,6.85920577619473,21149.5,666,19.3363164243746
77266,787,68.1269448,112.668360864041,735.590851334181,347.484116899619,326.137229987294,139.2,1083.0749682338,2.08061473455448,0.552066536150608,0.0865653682337993,22.262118491921,31.0592459605027,19.5691202872531,27.1095152603232,92.8400954653938,7.15990453460621,4.95552731893266,24961.2,1636,26.4261658946015
77267,350,17.09602332,120.257142857143,520.571428571429,33.6571428571429,0,139.2,554.228571428571,0.463519291007564,-3.11511615917127,0.0488457809142857,25.968992248062,31.0077519379845,15.5038759689922,27.5193798449612,92.9411764705882,7.05882352941176,2.57142857142857,22570.33333,616,11.673000553925
77268,8297,1811.94139,93.8989996384235,1127.62203205978,109.349162347837,87.0531517415934,139.2,1236.97119440762,8.57046055850783,0.851140937545036,0.218385125949138,14.8473282442748,12.7099236641221,24.8473282442748,47.5954198473283,92.209721927404,7.79027807259605,7.18331927202604,26704.7619,465,52.4513937914084
77269,1707,272.0332455,189.9179847686,581.435266549502,162.161687170475,417.732864674868,139.2,743.596953719977,-0.0468000673055635,-3.91632125240675,0.159363354130053,23.4264199854121,25.9993255168044,17.0239334780144,33.550321035451,88.9962327919544,11.0037672158961,9.87673538928211,26162.71795,1029,14.8612218399971
77270,867,164.081556,139.204152249135,590.069204152249,103.598615916955,775.62860438293,139.2,693.667820069204,0.658725521866432,0.301514417712356,0.189252083044983,34.5139891805277,26.131950089604,17.8430042674769,21.511056478226,91.1330049333429,8.86699507400014,6.73178516873802,25867.6,1361,17.0735721015723
77271,125,14.6566311,185.68,637.28,46.72,38.48,139.2,684,-1.95934923212441,12.5435989500606,0.1172530488,41.6666666666667,29.1666666666667,17.7083333333333,11.4583333333333,87.3015873015873,12.6984126984127,7.03125,20319.44737,859,11.8212824699509
77272,891,131.1282923,123.64758698092,472.177328843996,70.9988776655443,212.985409652076,139.2,543.17620650954,0.524424573109084,-2.5063023301392,0.147169800561167,29.8333333333333,31.3333333333333,19.6666666666667,19.1666666666667,89.727463312369,10.272536687631,8.41750841750842,22203.125,1390,18.0573042927531
77273,557,37.4839742,173.303411131059,824.362657091562,142.369838420108,1547.0197486535,139.2,966.73249551167,-0.0716589772389642,1.67069996093026,0.0672961834829444,17.6308539941286,33.333333342648,21.7630853991334,27.2727272724732,92.1052631543824,7.89473684228088,9.5575221238898,23236.19048,708,31.9539449915074
77274,471,31.42403724,96.2208067940552,462.71762208068,262.44161358811,443.821656050955,139.2,725.15923566879,2.12475087298574,0.746768467988446,0.0667177011464968,27.7439024390244,27.7439024390244,19.8170731707317,24.6951219512195,92.2779922779923,7.72200772200772,7.85562632696391,23460.47619,692,25.2780521757505
